Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Urofollitropina,UROFOLLITROPINA 225UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 225 UI/ml + 5 siringhe + 10 aghi,IBSA FARMACEUTICI ITALIA Srl,032921140,GET,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 150UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 150 UI/ml + 1 siringa,IBSA FARMACEUTICI ITALIA Srl,032921102,GZV,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 75UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 75 UI + 1 fiala solv 1 ml,IBSA FARMACEUTICI ITALIA Srl,032921013,T6A,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Urofollitropina,UROFOLLITROPINA 75UI 10 UNITA' USO PARENTERALE,FOSTIMON*10 flaconcini 75 UI + 10 fiale solv 1 ml,IBSA FARMACEUTICI ITALIA Srl,032921049,T6B,7166,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/7166/farmaci/32921/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,TALAVIR*21 cpr riv 1.000 mg,ALFASIGMA SpA,029498021,ETA,4375,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4375/farmaci/29498/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,ZELITREX*21 cpr riv 1.000 mg,GLAXOSMITHKLINE SpA,029503024,ETA,200,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/200/farmaci/29503/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,EG SpA,038817084,ETA,1561,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1561/farmaci/38817/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,MYLAN SpA,039107180,ETA,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/39107/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,SANDOZ SpA,039149125,ETA,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/39149/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,AUROBINDO PHARMA ITALIA Srl,040942144,ETA,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/40942/stampati?ts=RCP
