Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",TOWA PHARMACEUTICAL SpA,041967023,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",ALMUS Srl,042208177,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",AUROBINDO PHARMA ITALIA Srl,042278022,FQB
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 160+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 12,5 mg",ZENTIVA ITALIA Srl,042636050,FQB
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,COTAREG*28 cpr riv 160 mg + 25 mg,NOVARTIS FARMA SpA,034114140,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,COMBISARTAN*28 cpr riv 160 mg + 25 mg,A.MENARINI IND.FARM.RIUN.Srl,034134116,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,CORIXIL*28 cpr riv 160 mg + 25 mg,SANDOZ SpA,034774113,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TEVA ITALIA Srl,040259259,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,EG SpA,040589196,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALBACOMP*28 cpr riv 160 mg + 25 mg,EG SpA,040757193,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,SANDOZ SpA,040920100,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,HCS BVBA,041012269,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,DOC GENERICI Srl,041105038,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,MYLAN SpA,041255035,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALIDROC*28 cpr riv 160 mg + 25 mg,SO.SE.PHARM Srl,041293198,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,ZENTIVA ITALIA Srl,041492137,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,041944036,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,TOWA PHARMACEUTICAL SpA,041967035,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,ALMUS Srl,042208316,FQC
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 160+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 160 mg + 25 mg,AUROBINDO PHARMA ITALIA Srl,042278034,FQC
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","COTAREG*28 cpr riv 320 mg + 12,5 mg",NOVARTIS FARMA SpA,034114215,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","COMBISARTAN*28 cpr riv 320 mg + 12,5 mg",A.MENARINI IND.FARM.RIUN.Srl,034134181,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","CORIXIL*28 cpr riv 320 mg + 12,5 mg",SANDOZ SpA,034774188,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",EG SpA,040589273,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",TEVA PHARMA B.V.,040709026,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALBACOMP*28 cpr riv 320 mg + 12,5 mg",EG SpA,040757268,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",SANDOZ SpA,040920136,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",HCS BVBA,041012396,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",DOC GENERICI Srl,041105040,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",MYLAN SpA,041255062,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",TECNIMEDE SOC.TECNICO-MED.S.A.,041944048,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",AUROBINDO PHARMA ITALIA Srl,042278046,FQD
Valsartan/idroclorotiazide,"VALSARTAN+IDROCLOROTIAZIDE 320+12,5MG 28 UNITA' USO ORALE","VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 12,5 mg",ZENTIVA ITALIA Srl,042636163,FQD
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,COTAREG*28 cpr riv 320 mg + 25 mg,NOVARTIS FARMA SpA,034114292,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,COMBISARTAN*28 cpr riv 320 mg + 25 mg,A.MENARINI IND.FARM.RIUN.Srl,034134268,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,CORIXIL*28 cpr riv 320 mg + 25 mg,SANDOZ SpA,034774265,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,EG SpA,040589362,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,TEVA PHARMA B.V.,040709141,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALBACOMP*28 cpr riv 320 mg + 25 mg,EG SpA,040757320,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,SANDOZ SpA,040920151,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,HCS BVBA,041012535,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,DOC GENERICI Srl,041105053,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,MYLAN SpA,041255074,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,041944051,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,AUROBINDO PHARMA ITALIA Srl,042278059,FQE
Valsartan/idroclorotiazide,VALSARTAN+IDROCLOROTIAZIDE 320+25MG 28 UNITA' USO ORALE,VALSARTAN E IDROCLOROTIAZIDE*28 cpr riv 320 mg + 25 mg,ZENTIVA ITALIA Srl,042636276,FQE
Vancomicina,VANCOMICINA 250MG 4 UNITA' USO ORALE,MAXIVANIL*4 cps 250 mg,GENETIC SpA,034984031,T9A
Vancomicina,VANCOMICINA 250MG 4 UNITA' USO ORALE,LEVOVANOX*4 cps 250 mg,GENETIC SpA,035003033,T9A
Vardenafil,VARDENAFIL 20MG 12 UNITA' USO ORALE,LEVITRA*12 cpr riv 20 mg,BAYER PHARMA AG,035734122,KBQ
Vardenafil,VARDENAFIL 20MG 12 UNITA' USO ORALE,VARDENAFIL*12 cpr riv 20 mg,MYLAN SpA,045027149,KBQ
Vardenafil,VARDENAFIL 20MG 12 UNITA' USO ORALE,VARDENAFIL*12 cpr riv 20 mg,DOC GENERICI Srl,045160064,KBQ
Vardenafil,VARDENAFIL 20MG 12 UNITA' USO ORALE,VARDENAFIL*12 cpr riv 20 mg,TEVA ITALIA Srl,045476203,KBQ
Vareniclina,"VARENICLINA 0,5MG 11 UNITA'+1MG 14 UNITA' USO ORALE","CHAMPIX*11 cpr riv 0,5 mg + 14 cpr 1 mg",PFIZER EUROPE MA EEIG,037550148,ITU
Vareniclina,VARENICLINA 1MG 28 UNITA' USO ORALE,CHAMPIX*28 cpr riv 1 mg,PFIZER EUROPE MA EEIG,037550151,ITV
Vareniclina,VARENICLINA 1MG 56 UNITA' USO ORALE,CHAMPIX*56 cpr riv 1 mg,PFIZER EUROPE MA EEIG,037550163,ITW
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,VIATRIS PHARMA Srl,028831055,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,VIATRIS PHARMA Srl,028834051,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,ZENTIVA ITALIA Srl,037881289,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,ZARELIS*14 cpr 75 mg rilascio prolungato,ITALFARMACO SpA,038316028,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio modificato,LABORATORI ALTER Srl,038465050,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,DOC GENERICI Srl,038466076,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,KRKA D.D.NOVO MESTO,038499113,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,TEVA ITALIA Srl,038500118,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,IXILANIA*14 cps 75 mg rilascio prolungato,NEURAXPHARM ITALY SpA,038506010,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,MYLAN SpA,038615035,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,AUROBINDO PHARMA ITALIA Srl,041691181,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,EG SpA,044970200,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 75 mg rilascio prolungato,SANDOZ SpA,045555036,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,GMM FARMA Srl,047387016,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,MEDIFARM Srl,048371013,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,FARMA 1000 Srl,049548011,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,PROGRAMMI SANIT.INTEGRATI Srl,049839018,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,NEW PHARMASHOP Srl,050027010,E3A
Venlafaxina,VENLAFAXINA 75MG 14 UNITA' USO ORALE RP,EFEXOR*14 cps 75 mg rilascio prolungato,BB FARMA Srl,050275015,E3A
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,EFEXOR*10 cps 150 mg rilascio prolungato,VIATRIS PHARMA Srl,028831067,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,VIATRIS PHARMA Srl,028834063,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,ZENTIVA ITALIA Srl,037881277,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,ZARELIS*10 cpr 150 mg rilascio prolungato,ITALFARMACO SpA,038316218,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio modificato,LABORATORI ALTER Srl,038465074,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,DOC GENERICI Srl,038466138,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,KRKA D.D.NOVO MESTO,038499190,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,TEVA ITALIA Srl,038500195,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,MYLAN SpA,038615163,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,AUROBINDO PHARMA ITALIA Srl,041691320,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,EG SpA,044970313,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,VENLAFAXINA*10 cps 150 mg rilascio prolungato,SANDOZ SpA,045555048,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,EFEXOR*10 cps 150 mg rilascio prolungato,MEDIFARM Srl,048371025,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,EFEXOR*10 cps 150 mg rilascio prolungato,FARMA 1000 Srl,049548023,E3B
Venlafaxina,VENLAFAXINA 150MG 10 UNITA' USO ORALE RP,EFEXOR*10 cps 150 mg rilascio prolungato,BB FARMA Srl,050275027,E3B
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","EFEXOR*28 cps 37,5 mg rilascio prolungato",VIATRIS PHARMA Srl,028831129,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",ZENTIVA ITALIA Srl,037881024,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","ZARELIS*28 cpr 37,5 mg rilascio prolungato",ITALFARMACO SpA,038316648,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",DOC GENERICI Srl,038466037,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",KRKA D.D.NOVO MESTO,038499048,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",TEVA ITALIA Srl,038500043,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",AUROBINDO PHARMA ITALIA Srl,041691054,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",EG SpA,044970109,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",SANDOZ SpA,045555024,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 28 UNITA' USO ORALE RP","VENLAFAXINA*28 cps 37,5 mg rilascio prolungato",TEVA B.V.,050040043,E3C
Venlafaxina,"VENLAFAXINA 37,5MG 7 UNITA' USO ORALE RP","EFEXOR*7 cps 37,5 mg rilascio prolungato",VIATRIS PHARMA Srl,028831131,E3E
Venlafaxina,VENLAFAXINA 225MG 14 UNITA' USO ORALE RP,ZARELIS*14 cpr 225 mg rilascio prolungato,ITALFARMACO SpA,038316422,E3F
Venlafaxina,VENLAFAXINA 225MG 14 UNITA' USO ORALE RP,VENLAFAXINA*14 cps 225 mg rilascio prolungato,EG SpA,044970440,E3F
Venlafaxina,VENLAFAXINA 4.500MG 60ML USO ORALE,ZAREDROP*orale soluz flacone 60 ml 75 mg/ml + siringa,ITALFARMACO SpA,040745010,E3G
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio modificato,LABORATORI ALTER Srl,038465011,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,DOC GENERICI Srl,038466088,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,KRKA D.D.NOVO MESTO,038499137,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,TEVA ITALIA Srl,038500132,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,MYLAN SpA,038615062,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,AUROBINDO PHARMA ITALIA Srl,041691205,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,EG SpA,044970566,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,SANDOZ SpA,045555063,KQS
Venlafaxina,VENLAFAXINA 75MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 75 mg rilascio prolungato,TEVA B.V.,050040132,KQS
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio modificato,LABORATORI ALTER Srl,038465035,KQT
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio prolungato,KRKA D.D.NOVO MESTO,038499226,KQT
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio prolungato,TEVA ITALIA Srl,038500221,KQT
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio prolungato,EG SpA,044970580,KQT
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio prolungato,SANDOZ SpA,045555075,KQT
Venlafaxina,VENLAFAXINA 150MG 28 UNITA' USO ORALE RP,VENLAFAXINA*28 cps 150 mg rilascio prolungato,TEVA B.V.,050040221,KQT
Venlafaxina,VENLAFAXINA 150MG 30 UNITA' USO ORALE RP,VENLAFAXINA*30 cps 150 mg rilascio prolungato,DOC GENERICI Srl,038466153,KWJ
Venlafaxina,VENLAFAXINA 150MG 30 UNITA' USO ORALE RP,VENLAFAXINA*30 cps 150 mg rilascio prolungato,MYLAN SpA,038615213,KWJ
Venlafaxina,VENLAFAXINA 150MG 30 UNITA' USO ORALE RP,VENLAFAXINA*30 cps 150 mg rilascio prolungato,AUROBINDO PHARMA ITALIA Srl,041691369,KWJ
Venlafaxina,VENLAFAXINA 300MG 30 UNITA' USO ORALE,ZARELIS*30 cpr 300 mg rilascio prolungato,ITALFARMACO SpA,038316853,MMG
Verapamil,VERAPAMIL 120MG 30 UNITA' USO ORALE RP,ISOPTIN*30 cpr 120 mg rilascio prolungato,VIATRIS ITALIA Srl,020609044,13A
Verapamil,VERAPAMIL 120MG 30 UNITA' USO ORALE RP,VERAPAMIL*30 cpr riv 120 mg rilascio prolungato,SANDOZ SpA,031228024,13A
Verapamil,VERAPAMIL 120MG 30 UNITA' USO ORALE RP,VERAPAMIL*30 cpr 120 mg rilascio modificato,EG SpA,032100024,13A
Verapamil,VERAPAMIL 120MG 30 UNITA' USO ORALE RP,VERAPAMIL*30 cps 120 mg rilascio prolungato,DOC GENERICI Srl,034255036,13A
Verapamil,VERAPAMIL 240MG 30 UNITA' USO ORALE RP,ISOPTIN*30 cpr 240 mg rilascio prolungato,VIATRIS ITALIA Srl,020609069,13B
Verapamil,VERAPAMIL 240MG 30 UNITA' USO ORALE RP,VERAPAMIL*30 cpr 240 mg rilascio modificato,EG SpA,032100036,13B
Verapamil,VERAPAMIL 240MG 30 UNITA' USO ORALE RP,VERAPAMIL*30 cps 240 mg rilascio prolungato,DOC GENERICI Srl,034255048,13B
Verapamil,VERAPAMIL 80MG 30 UNITA' USO ORALE,ISOPTIN*30 cpr riv 80 mg,VIATRIS ITALIA Srl,020609083,13C
Verapamil,VERAPAMIL 80MG 30 UNITA' USO ORALE,VERAPAMIL*30 cpr riv 80 mg,SANDOZ SpA,031228012,13C
Verapamil,VERAPAMIL 40MG 30 UNITA' USO ORALE,ISOPTIN*30 cpr riv 40 mg,VIATRIS ITALIA Srl,020609018,13D
Verapamil,VERAPAMIL 180MG 30 UNITA' USO ORALE RP,ISOPTIN*30 cpr 180 mg rilascio prolungato,VIATRIS ITALIA Srl,020609095,13E
Verapamil,VERAPAMIL 5MG 5 UNITA' USO PARENTERALE,ISOPTIN*5 fiale EV 5 mg 2 ml,VIATRIS ITALIA Srl,020609071,13F
Vericiguat,"VERICIGUAT 2,5MG 14 UNITA' USO ORALE","VERQUVO*14 cpr riv 2,5 mg",BAYER AG,049614011,LUD
Vericiguat,VERICIGUAT 5MG 14 UNITA' USO ORALE,VERQUVO*14 cpr riv 5 mg,BAYER AG,049614124,LUE
Vericiguat,VERICIGUAT 10MG 28 UNITA' USO ORALE,VERQUVO*28 cpr riv 10 mg,BAYER AG,049614249,LUF
Vigabatrin,VIGABATRIN 500MG 50 UNITA' USO ORALE,SABRIL*50 cpr riv 500 mg,SANOFI Srl,027443011,TAA
Vigabatrin,VIGABATRIN 500MG 50 UNITA' USO ORALE,SABRIL*orale grat 50 bust 500 mg,SANOFI Srl,027443047,TAA
Vilanterolo/umeclidinio/fluticasone,FLUTICASONE+UMECLIDINIO+VILANTEROLO 92+55+22MCG 30 DOSI USO INALATORIO,ELEBRATO ELLIPTA*polv inal 30 dosi 92 mcg + 55 mcg + 22 mcg,GLAXOSMITHKLINE TRAD.SERV.LTD,045789029,KPM
Vilanterolo/umeclidinio/fluticasone,FLUTICASONE+UMECLIDINIO+VILANTEROLO 92+55+22MCG 30 DOSI USO INALATORIO,TRELEGY ELLIPTA*polv inal 30 dosi 92 mcg + 55 mcg + 22 mcg,GLAXOSMITHKLINE TRAD.SERV.LTD,045790021,KPM
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,GALVUS*56 cpr 50 mg,NOVARTIS EUROPHARM LTD,038144059,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr riv 50 mg,SANDOZ SpA,044763050,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,KRKA D.D.NOVO MESTO,045209044,TBA
