Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Umeclidinio,UMECLIDINIO 55MCG 30 UNITA' USO RESPIRATORIO,INCRUSE ELLIPTA*polv inal 30 dosi 55 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043374026,GBF
Umeclidinio,UMECLIDINIO 55MCG 30 UNITA' USO RESPIRATORIO,ROLUFTA ELLIPTA*1 inalatore 30 dosi 55 mcg,GLAXOSMITHKLINE TRAD.SERV.LTD,045321027,GBF
Umeclidinio/Vilanterolo,UMECLIDINIO+VILANTEROLO 55MCG+22MCG 30 UNITA' USO RESPIRATORIO,ANORO ELLIPTA*polv inal 30 dosi 55 mcg + 22 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043438023,GCD
Umeclidinio/Vilanterolo,UMECLIDINIO+VILANTEROLO 55MCG+22MCG 30 UNITA' USO RESPIRATORIO,LAVENTAIR ELLIPTA*polv inal 30 dosi 55 mcg + 22 mcg,GLAXOSMITHKLINE (IRELAND) LTD,043444025,GCD
Urofollitropina,UROFOLLITROPINA 300UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 300 UI/ml + 5 siringhe + 10 aghi,IBSA FARMACEUTICI ITALIA Srl,032921177,GDZ
Urofollitropina,UROFOLLITROPINA 225UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 225 UI/ml + 1 siringa + 2 aghi,IBSA FARMACEUTICI ITALIA Srl,032921138,GEF
Urofollitropina,UROFOLLITROPINA 300UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 300 UI/ml + 1 siringa + 1 ago,IBSA FARMACEUTICI ITALIA Srl,032921165,GEL
Urofollitropina,UROFOLLITROPINA 150UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 150 UI/ml + 5 siringhe,IBSA FARMACEUTICI ITALIA Srl,032921114,GEP
Urofollitropina,UROFOLLITROPINA 225UI 5 UNITA' USO PARENTERALE,FOSTIMON*5 flaconcini 225 UI/ml + 5 siringhe + 10 aghi,IBSA FARMACEUTICI ITALIA Srl,032921140,GET
Urofollitropina,UROFOLLITROPINA 150UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 150 UI/ml + 1 siringa,IBSA FARMACEUTICI ITALIA Srl,032921102,GZV
Urofollitropina,UROFOLLITROPINA 75UI 1 UNITA' USO PARENTERALE,FOSTIMON*1 flaconcino 75 UI + 1 fiala solv 1 ml,IBSA FARMACEUTICI ITALIA Srl,032921013,T6A
Urofollitropina,UROFOLLITROPINA 75UI 10 UNITA' USO PARENTERALE,FOSTIMON*10 flaconcini 75 UI + 10 fiale solv 1 ml,IBSA FARMACEUTICI ITALIA Srl,032921049,T6B
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,TALAVIR*21 cpr riv 1.000 mg,ALFASIGMA SpA,029498021,ETA
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,ZELITREX*21 cpr riv 1.000 mg,GLAXOSMITHKLINE SpA,029503024,ETA
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,EG SpA,038817084,ETA
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,MYLAN SpA,039107180,ETA
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,SANDOZ SpA,039149125,ETA
Valaciclovir,VALACICLOVIR 1.000MG 21 UNITA' USO ORALE,VALACICLOVIR*21 cpr riv 1.000 mg,AUROBINDO PHARMA ITALIA Srl,040942144,ETA
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,TALAVIR*42 cpr riv 500 mg,ALFASIGMA SpA,029498019,ETB
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,ZELITREX*42 cpr riv 500 mg,GLAXOSMITHKLINE SpA,029503012,ETB
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,MYLAN SpA,039107139,ETB
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,SANDOZ SpA,039149075,ETB
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,AUROBINDO PHARMA ITALIA Srl,040942056,ETB
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALCYTE*60 cpr riv 450 mg flacone,CHEPLAPHARM ARZNEIMITTEL GMBH,035739010,T7A
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,TEVA ITALIA Srl,042545032,T7A
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,MYLAN SpA,043146012,T7A
